id,forum_id,page,ref,admin,user_ip,logon_name,timestamp,user_browser
33,1,/,http://forum.mac-it.co.il/index.php,0,217.132.64.207,topazh1,2009-01-10 10:39:29,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6; en-us) AppleWebKit/525.27.1 (KHTML, like Gecko) Version/3.2.1 Safari/525.27.1"
34,1,/,http://www.mac-it.co.il/,0,89.139.214.253,*Guest,2009-01-10 10:39:39,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.0.5) Gecko/2008120121 Firefox/3.0.5
37,1,/,http://www.google.co.il/search?hl=iw&q=%D7%A4%D7%95%D7%A8%D7%95%D7%9D+%D7%9E%D7%A7%D7%99%D7%A0%D7%98%D7%95%D7%A9&meta=,0,89.138.149.20,*Guest,2009-01-10 10:40:07,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; FLV; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; InfoPath.2)
38,1,/,<blank>,1,95.104.62.43,Macpire,2009-01-10 10:40:12,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.0.5) Gecko/2008120121 Firefox/3.0.5
39,1,/index.qr.php?forum_id=1&id=174312,http://forum.mac-it.co.il/,0,79.181.108.9,Wine,2009-01-10 10:40:22,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_4_11; en) AppleWebKit/525.27.1 (KHTML, like Gecko) Version/3.2.1 Safari/525.27.1"
40,1,/tag_view.php?id=http://man.43i.net/index.htm?,<blank>,0,218.186.8.228,*Guest,2009-01-10 10:40:29,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)
41,1,/board.php,http://forum.mac-it.co.il/,0,85.250.134.47,or,2009-01-10 10:40:46,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6; en-us) AppleWebKit/525.27.1 (KHTML, like Gecko) Version/3.2.1 Safari/525.27.1"
42,1,/single_view.php?id=134794&gid=134794,<blank>,0,74.6.22.187,*Guest,2009-01-10 10:40:54,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)
43,1,/quick_post.php,http://forum.mac-it.co.il/,0,79.181.108.9,Wine,2009-01-10 10:41:04,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_4_11; en) AppleWebKit/525.27.1 (KHTML, like Gecko) Version/3.2.1 Safari/525.27.1"
44,1,/index.php,http://forum.mac-it.co.il/quick_post.php,0,79.181.108.9,Wine,2009-01-10 10:41:05,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_4_11; en) AppleWebKit/525.27.1 (KHTML, like Gecko) Version/3.2.1 Safari/525.27.1"
45,1,/,http://forum.mac-it.co.il/index.php,0,79.181.108.9,Wine,2009-01-10 10:41:06,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_4_11; en) AppleWebKit/525.27.1 (KHTML, like Gecko) Version/3.2.1 Safari/525.27.1"
46,1,/,<blank>,0,84.108.83.2,Mrs. Brutal,2009-01-10 10:41:09,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.5) Gecko/2008120122 Firefox/3.0.5
47,1,/,<blank>,0,89.1.21.17,Caveman,2009-01-10 10:41:11,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.5) Gecko/2008120122 Firefox/3.0.5
48,1,/single_view.php?id=173041&gid=172942,http://www.google.com/search?q=%D7%99%D7%95%D7%98%D7%95%D7%A8%D7%A0%D7%98&sourceid=ie7&rls=com.microsoft:en-US&ie=utf8&oe=utf8,0,199.203.217.47,*Guest,2009-01-10 10:41:14,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; FunWebProducts; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30)
49,1,/archive_single_view.php?id=173041&gid=172942,<blank>,0,199.203.217.47,*Guest,2009-01-10 10:41:15,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; FunWebProducts; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30)
50,1,/archive_single_view.php?id=173041&gid=172942,<blank>,0,66.249.67.184,*Guest,2009-01-10 10:41:19,Mediapartners-Google
51,1,/archive_single_view.php?id=173041&gid=172942,<blank>,0,66.249.67.184,*Guest,2009-01-10 10:41:20,Mediapartners-Google
53,1,/index.qr.php?forum_id=1&id=174313,http://forum.mac-it.co.il/,0,84.108.83.2,Mrs. Brutal,2009-01-10 10:41:21,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.5) Gecko/2008120122 Firefox/3.0.5
54,1,/result.php?keyword=%D7%A0%D7%90%D7%A0%D7%95&byuser=0,http://www.google.co.il/search?hl=iw&pwst=1&sa=X&oi=spell&resnum=0&ct=result&cd=1&q=%D7%A2%D7%91%D7%A8%D7%99%D7%AA+%D7%9C%D7%90%D7%99%D7%99%D7%A4%D7%95%D7%93+%D7%A0%D7%90%D7%A0%D7%95+4GB&spell=1,0,79.178.120.21,*Guest,2009-01-10 10:41:22,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; InfoPath.2)
55,1,/stats_view.php,http://forum.mac-it.co.il/,1,95.104.62.43,Macpire,2009-01-10 10:41:22,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.0.5) Gecko/2008120121 Firefox/3.0.5
56,1,/,<blank>,0,82.81.25.160,*Guest,2009-01-10 10:41:28,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6; en-us) AppleWebKit/525.27.1 (KHTML, like Gecko) Version/3.2.1 Safari/525.27.1"
57,1,/result.php?keyword=%D7%A0%D7%90%D7%A0%D7%95&byuser=0,<blank>,0,66.249.67.184,*Guest,2009-01-10 10:41:28,Mediapartners-Google
58,1,/archive_single_view.php?id=10662&gid=10636,http://www.google.co.il/search?hl=iw&sa=X&oi=spell&resnum=0&ct=result&cd=1&q=%D7%A2%D7%98%D7%99%D7%A4%D7%95%D7%AA+%D7%90%D7%9C%D7%91%D7%95%D7%9E%D7%99%D7%9D+%D7%91%D7%90%D7%99%D7%99%D7%98%D7%95%D7%A0%D7%96&spell=1,0,212.179.68.114,*Guest,2009-01-10 10:41:30,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; InfoPath.2)
59,1,/archive_single_view.php?id=10662&gid=10636,<blank>,0,66.249.67.184,*Guest,2009-01-10 10:41:34,Mediapartners-Google
60,1,/single_view.php?id=173041&gid=172942,http://www.google.com/search?q=%D7%99%D7%95%D7%98%D7%95%D7%A8%D7%A0%D7%98&sourceid=ie7&rls=com.microsoft:en-US&ie=utf8&oe=utf8,0,199.203.217.47,*Guest,2009-01-10 10:41:40,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; FunWebProducts; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30)
61,1,/,http://www.google.co.il/search?hl=iw&q=%D7%A4%D7%95%D7%A8%D7%95%D7%9D+%D7%9E%D7%A7%D7%99%D7%A0%D7%98%D7%95%D7%A9&meta=,1,95.104.62.43,Macpire,2009-01-10 10:41:40,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.0.5) Gecko/2008120121 Firefox/3.0.5
62,1,/archive_single_view.php?id=173041&gid=172942,<blank>,0,199.203.217.47,*Guest,2009-01-10 10:41:40,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; FunWebProducts; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30)
64,1,/single_view.php?id=173041&gid=172942,http://www.google.com/search?q=%D7%99%D7%95%D7%98%D7%95%D7%A8%D7%A0%D7%98&sourceid=ie7&rls=com.microsoft:en-US&ie=utf8&oe=utf8,0,199.203.217.47,*Guest,2009-01-10 10:41:47,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; FunWebProducts; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30)
65,1,/archive_single_view.php?id=173041&gid=172942,<blank>,0,199.203.217.47,*Guest,2009-01-10 10:41:48,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; FunWebProducts; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30)
66,1,/quick_post.php,http://forum.mac-it.co.il/,0,84.108.83.2,Mrs. Brutal,2009-01-10 10:41:48,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.5) Gecko/2008120122 Firefox/3.0.5
67,1,/index.php,http://forum.mac-it.co.il/quick_post.php,0,84.108.83.2,Mrs. Brutal,2009-01-10 10:41:49,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.5) Gecko/2008120122 Firefox/3.0.5
68,1,/,<blank>,0,84.108.83.2,Mrs. Brutal,2009-01-10 10:41:50,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.5) Gecko/2008120122 Firefox/3.0.5
70,1,/forgot_pass.php,<blank>,0,78.46.88.142,*Guest,2009-01-10 10:42:07,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)
71,1,/forgot_pass.php,http://forum.mac-it.co.il/forgot_pass.php,0,78.46.88.142,*Guest,2009-01-10 10:42:10,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)
72,1,/single_view.php?id=112748&gid=112738,http://www.google.co.il/search?hl=iw&q=%D7%A4%D7%AA%D7%99%D7%97%D7%AA+%D7%97%D7%A9%D7%91%D7%95%D7%9F+%D7%91%D7%90%D7%99%D7%99%D7%98%D7%95%D7%A0%D7%96&meta=,0,212.179.68.114,*Guest,2009-01-10 10:42:15,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; InfoPath.2)
73,1,/archive_single_view.php?id=112748&gid=112738,<blank>,0,212.179.68.114,*Guest,2009-01-10 10:42:16,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; InfoPath.2)
74,1,/forum/forgot_pass.php,<blank>,0,78.46.88.142,*Guest,2009-01-10 10:42:17,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)
75,1,/,<blank>,0,85.250.186.223,*Guest,2009-01-10 10:42:19,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6; en-us) AppleWebKit/525.27.1 (KHTML, like Gecko) Version/3.2.1 Safari/525.27.1"
76,1,/forum/forgot_pass.php,http://www.mac-it.co.il/forum/forgot_pass.php,0,78.46.88.142,*Guest,2009-01-10 10:42:21,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)
78,1,/stats_view.php,http://forum.mac-it.co.il/,1,95.104.62.43,Macpire,2009-01-10 10:42:22,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.0.5) Gecko/2008120121 Firefox/3.0.5
79,1,/single_view.php?id=112748&gid=112738,http://www.google.co.il/search?hl=iw&q=%D7%A4%D7%AA%D7%99%D7%97%D7%AA+%D7%97%D7%A9%D7%91%D7%95%D7%9F+%D7%91%D7%90%D7%99%D7%99%D7%98%D7%95%D7%A0%D7%96&meta=,0,212.179.68.114,*Guest,2009-01-10 10:42:25,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; InfoPath.2)
80,1,/archive_single_view.php?id=112748&gid=112738,<blank>,0,212.179.68.114,*Guest,2009-01-10 10:42:25,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; InfoPath.2)
81,1,/single_view.php?id=112748&gid=112738,http://www.google.co.il/search?hl=iw&q=%D7%A4%D7%AA%D7%99%D7%97%D7%AA+%D7%97%D7%A9%D7%91%D7%95%D7%9F+%D7%91%D7%90%D7%99%D7%99%D7%98%D7%95%D7%A0%D7%96&meta=,0,212.179.68.114,*Guest,2009-01-10 10:42:31,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; InfoPath.2)
82,1,/archive_single_view.php?id=112748&gid=112738,<blank>,0,212.179.68.114,*Guest,2009-01-10 10:42:32,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; InfoPath.2)
83,1,/single_view.php?id=112748&gid=112738,http://www.google.co.il/search?hl=iw&q=%D7%A4%D7%AA%D7%99%D7%97%D7%AA+%D7%97%D7%A9%D7%91%D7%95%D7%9F+%D7%91%D7%90%D7%99%D7%99%D7%98%D7%95%D7%A0%D7%96&meta=,0,212.179.68.114,*Guest,2009-01-10 10:42:33,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; InfoPath.2)
84,1,/archive_single_view.php?id=112748&gid=112738,<blank>,0,212.179.68.114,*Guest,2009-01-10 10:42:34,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; InfoPath.2)
85,1,/archive_single_view.php?id=127767&gid=127767,<blank>,0,74.6.22.187,*Guest,2009-01-10 10:42:34,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)
86,1,/single_view.php?id=112748&gid=112738,http://www.google.co.il/search?hl=iw&q=%D7%A4%D7%AA%D7%99%D7%97%D7%AA+%D7%97%D7%A9%D7%91%D7%95%D7%9F+%D7%91%D7%90%D7%99%D7%99%D7%98%D7%95%D7%A0%D7%96&meta=,0,212.179.68.114,*Guest,2009-01-10 10:42:36,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; InfoPath.2)
87,1,/archive_single_view.php?id=112748&gid=112738,<blank>,0,212.179.68.114,*Guest,2009-01-10 10:42:36,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; InfoPath.2)
89,1,/,<blank>,0,84.108.83.2,Mrs. Brutal,2009-01-10 10:42:45,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.5) Gecko/2008120122 Firefox/3.0.5
90,1,/single_view.php?id=173041&gid=172942,http://www.google.com/search?q=%D7%99%D7%95%D7%98%D7%95%D7%A8%D7%A0%D7%98&sourceid=ie7&rls=com.microsoft:en-US&ie=utf8&oe=utf8,1,95.104.62.43,Macpire,2009-01-10 10:42:51,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.0.5) Gecko/2008120121 Firefox/3.0.5
91,1,/archive_single_view.php?id=173041&gid=172942,http://forum.mac-it.co.il/single_view.php?id=173041&gid=172942,1,95.104.62.43,Macpire,2009-01-10 10:42:53,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.0.5) Gecko/2008120121 Firefox/3.0.5
93,1,/,http://forum.mac-it.co.il/,0,82.81.25.160,yoshugo,2009-01-10 10:43:13,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6; en-us) AppleWebKit/525.27.1 (KHTML, like Gecko) Version/3.2.1 Safari/525.27.1"
94,1,/single_view.php?id=96865&gid=96865,http://www.google.co.il/search?hl=iw&q=720p+%D7%A8%D7%A7%D7%A2%D7%99%D7%9D&btnG=%D7%97%D7%99%D7%A4%D7%95%D7%A9&meta=,0,79.181.33.139,*Guest,2009-01-10 10:43:23,Mozilla/5.0 (Windows; U; Windows NT 5.1; he; rv:1.9.0.5) Gecko/2008120122 Firefox/3.0.5
95,1,/archive_single_view.php?id=96865&gid=96865,http://forum.mac-it.co.il/single_view.php?id=96865&gid=96865,0,79.181.33.139,*Guest,2009-01-10 10:43:24,Mozilla/5.0 (Windows; U; Windows NT 5.1; he; rv:1.9.0.5) Gecko/2008120122 Firefox/3.0.5
96,1,/result.php?keyword=vx+nano&byuser=0,http://forum.mac-it.co.il/,0,82.81.25.160,yoshugo,2009-01-10 10:43:27,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6; en-us) AppleWebKit/525.27.1 (KHTML, like Gecko) Version/3.2.1 Safari/525.27.1"
97,1,/single_view.php?id=96865&gid=96865,http://www.google.co.il/search?hl=iw&q=720p+%D7%A8%D7%A7%D7%A2%D7%99%D7%9D&btnG=%D7%97%D7%99%D7%A4%D7%95%D7%A9&meta=,0,79.181.33.139,*Guest,2009-01-10 10:43:29,Mozilla/5.0 (Windows; U; Windows NT 5.1; he; rv:1.9.0.5) Gecko/2008120122 Firefox/3.0.5
98,1,/archive_single_view.php?id=96865&gid=96865,http://forum.mac-it.co.il/single_view.php?id=96865&gid=96865,0,79.181.33.139,*Guest,2009-01-10 10:43:30,Mozilla/5.0 (Windows; U; Windows NT 5.1; he; rv:1.9.0.5) Gecko/2008120122 Firefox/3.0.5
99,1,/stats_view.php,http://forum.mac-it.co.il/,1,95.104.62.43,Macpire,2009-01-10 10:43:33,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.0.5) Gecko/2008120121 Firefox/3.0.5
101,1,/,<blank>,0,84.109.22.248,ascensi0n,2009-01-10 10:43:44,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.0.5) Gecko/2008120121 Firefox/3.0.5
102,1,/single_view.php?id=128426&gid=128426,<blank>,0,74.6.22.187,*Guest,2009-01-10 10:43:53,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)
103,1,/forum/board.php?type=0&page=5,<blank>,0,89.1.53.86,*Guest,2009-01-10 10:43:53,"Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/525.19 (KHTML, like Gecko) Chrome/1.0.154.36 Safari/525.19"
105,1,/forum/board.php?type=0&page=5,<blank>,0,66.249.67.184,*Guest,2009-01-10 10:43:58,Mediapartners-Google
106,1,/,http://forum.mac-it.co.il/index.php,0,217.132.64.207,topazh1,2009-01-10 10:44:03,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6; en-us) AppleWebKit/525.27.1 (KHTML, like Gecko) Version/3.2.1 Safari/525.27.1"
107,1,/archive_single_view.php?id=129765&gid=129717,http://www.google.co.il/search?hl=iw&q=%D7%A7%D7%99%D7%93%D7%95%D7%93+%D7%AA%D7%A7%D7%A0%D7%99&start=10&sa=N,0,87.70.144.43,*Guest,2009-01-10 10:44:07,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; User-agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; http://bsalsa.com) ; InfoPath.2; .NET CLR 2.0.50727)
108,1,/,http://forum.mac-it.co.il/index.php,0,84.108.165.176,natish,2009-01-10 10:44:08,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6; en-us) AppleWebKit/528.1 (KHTML, like Gecko) Version/4.0 Safari/528.1"
109,1,/archive_single_view.php?id=129765&gid=129717,<blank>,0,66.249.67.184,*Guest,2009-01-10 10:44:15,Mediapartners-Google
110,1,/archive_single_view.php?id=129765&gid=129717,<blank>,0,66.249.67.184,*Guest,2009-01-10 10:44:16,Mediapartners-Google
112,1,/single_view.php?id=172532&gid=172520,<blank>,0,74.6.22.187,*Guest,2009-01-10 10:44:29,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)
113,1,/,http://forum.mac-it.co.il/,0,79.178.136.44,Nadav,2009-01-10 10:44:30,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.5) Gecko/2008120122 Firefox/3.0.5
114,1,/,http://forum.mac-it.co.il/,0,79.178.136.44,Nadav,2009-01-10 10:44:31,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.5) Gecko/2008120122 Firefox/3.0.5
115,1,/archive_single_view.php?id=142691&gid=142624,http://forum.mac-it.co.il/result.php?keyword=vx+nano&byuser=0,0,82.81.25.160,yoshugo,2009-01-10 10:44:35,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6; en-us) AppleWebKit/525.27.1 (KHTML, like Gecko) Version/3.2.1 Safari/525.27.1"
116,1,/tag_view.php?id=88,<blank>,0,67.195.37.126,*Guest,2009-01-10 10:44:37,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)
117,1,/,<blank>,0,94.230.80.8,omeraloni,2009-01-10 10:44:41,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6; en-us) AppleWebKit/525.27.1 (KHTML, like Gecko) Version/3.2.1 Safari/525.27.1"
118,1,/single_view.php?id=30716&gid=30669,<blank>,0,74.6.22.187,*Guest,2009-01-10 10:44:44,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)
121,1,/,<blank>,0,79.182.231.167,*Guest,2009-01-10 10:45:27,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.5) Gecko/2008120122 Firefox/3.0.5
122,1,/index.php,<blank>,0,79.178.88.164,blurred,2009-01-10 10:45:47,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6; en-us) AppleWebKit/525.27.1 (KHTML, like Gecko) Version/3.2.1 Safari/525.27.1"
123,1,/tag_view.php?id=63,http://www.google.co.il/search?hl=iw&q=%D7%A4%D7%95%D7%A0%D7%98%D7%99%D7%9D&start=30&sa=N,0,84.109.22.143,*Guest,2009-01-10 10:45:48,Mozilla/5.0 (Windows; U; Windows NT 6.0; he; rv:1.9.0.5) Gecko/2008120122 Firefox/3.0.5
