id,gid,body,admin,title,date,file_1,file_2,file_3,locked,mailto,parent,level,edit_in,removed,user_ip,mailback,priority,register,username,sort_date,link_url_1,link_url_2,link_url_3,file_info_1,file_info_2,file_info_3,link_name_1,link_name_2,link_name_3
32,32,<blank>,0,מה קורה עם לוח המודעות ? ,22/03/2006 - 14:58,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,צביקה,1143032293,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
33,33,יש פה עדיין הד... נקווה שיתמלא בקרוב  ;-)  ,0,שלום לום לום לום .... ,22/03/2006 - 14:59,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,Nirho,1143032351,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
34,34,"כל הכבוד על היוזמה והביצוע !<br /><br />(אם אפשר, לשנות את הפונטים של ההודעות והתצוגה, הם לא נראים אצלי מי יודע כמה ברורים..)<br /><br />יום מצויין! ",0,"מזל טוב, רודד ,  ובהצלחה לך ולכולנו ! :)  ",22/03/2006 - 15:00,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,לארי,1143032443,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
35,35,הייתי רוצה לדעת כמה שווה האייבוק 14&quot; (אני מחליף למקבוק פרו) :<br />G4 993Mhz <br />640 Ram<br />HD 40 gb<br />air port extreme<br />2 בטריות (האחרונה נקנתה לפני 3 חודשים)<br />המחשב נקנה לפני שנתיים וחצי.<br />תודה  ,0,כל הכבוד על היוזמה...ועכשיו לההודעה הראשונה  ,22/03/2006 - 15:20,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,מורן,1143410662,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
36,36,<blank>,0,אוף אני לא הראשון  :(  ,22/03/2006 - 15:23,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,יריב,1143033793,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
37,37,ושיהיה בהצלח }8{  ,0,תבורך היזמה  ,22/03/2006 - 15:32,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,Macperson,1143034321,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
38,38,<blank>,0,לא נמאס לכם הא ... ,22/03/2006 - 15:33,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,עובר אורח,1143034423,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
39,35,NULL,0,גג 2000 ש&quot;ח וגם בקושי ,22/03/2006 - 15:35,<blank>,<blank>,<blank>,0,<blank>,35,1,NULL,0,NULL,0,0,0,Macpire,1143034519,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
40,34,NULL,0,תגדיר לי מה זה אצלך שאני אדע (: ,22/03/2006 - 15:35,<blank>,<blank>,<blank>,0,<blank>,34,1,NULL,0,NULL,0,0,0,Macpire,1143034548,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
41,32,מקווה שעד הסופ&quot;ש אספיק לעלות גם אותו. ,0,חחחחח אתה תמיד יש לך לוח מודעות בראש אה ? :) ,22/03/2006 - 15:36,<blank>,<blank>,<blank>,0,<blank>,32,1,NULL,0,NULL,0,0,0,Macpire,1143034603,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
42,42,<blank>,0,תודה לכולם (: תהנו! 8-)  ,22/03/2006 - 15:43,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,Macpire,1143035029,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
43,38,NULL,0,ממך? בטח שלא =) ,22/03/2006 - 15:44,<blank>,<blank>,<blank>,0,<blank>,38,1,NULL,0,NULL,0,0,0,Macpire,1143035051,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
44,36,NULL,0,מה אתם אומרים נמחק הכל שיריב יהיה ראשון? =) ,22/03/2006 - 15:47,<blank>,<blank>,<blank>,0,<blank>,36,1,NULL,0,NULL,0,0,0,Macpire,1143035220,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
45,35,NULL,0,תודה ,22/03/2006 - 15:51,<blank>,<blank>,<blank>,0,<blank>,39,2,NULL,0,NULL,0,0,0,מורן,1143035471,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
46,46,אחרי לא מעט מדפסות הזרקת דיו אני שוקל לעבור לליזר<br />אין לי צורך בהדפסות &quot;איכות&quot; או &quot;פוטו&quot;<br /><br />המל צות   וטיפים יתקבלו בברכה!<br /><br />אולי הפורום החדש ישכנע קצת יותר אנרים להגיב...<br /><br />מקווה שהפורום יתפוס מקום של כבוד ולא ייעלם<br /><br />תודה לרודד! ,0,המלצה למדפסת לייזר צבע ,22/03/2006 - 16:14,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,מיכאל,1143036899,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
47,46,לא עולה כמו המדפסת עצמה. זה בדיוק מה שקרה לי עם הלקסמרק שלי. עלות הטונרים - בארץ ובתפוצות - אלף דולר תבין ותקילין. ,0,צ'מע... לפני הכל תבדוק אם מחיר טונרים חדשים ,22/03/2006 - 17:17,<blank>,<blank>,<blank>,0,<blank>,46,1,NULL,0,NULL,0,0,0,מציץ מהצד,1143040630,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
48,35,0544667656 ,0,אם אתה מעוניין למכור אותו תתקשר ,22/03/2006 - 17:24,<blank>,<blank>,<blank>,0,<blank>,35,1,NULL,0,NULL,0,0,0,צליל,1143041053,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
49,35,0544667656 ,0,אם אתה מעוניין למכור תתקשר ,22/03/2006 - 17:25,<blank>,<blank>,<blank>,0,<blank>,35,1,NULL,0,NULL,0,0,0,צליל,1143041146,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
50,46,מדפסת לייזר צבע משרדית טובה לא עולה פחות מ 25-30 אלף שקל ,0,ותחזוקה שוטפת חוץ מהטונרים.. ד&quot;א לגבי מחיר ,22/03/2006 - 17:27,<blank>,<blank>,<blank>,0,<blank>,47,2,NULL,0,NULL,0,0,0,Macpire,1143041249,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
51,51, :$  :-)  :*(  @-)  :(~  :*|  :-$  :|  }:{  }{  :/  :(  :§  :)  =)  8-)  }8{ :-P  :-@  :-(  ;-)  [:]  :)  ,0,"מזל""ט יפה יפה  ",22/03/2006 - 17:30,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,cube,1143041403,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
52,52,<blank>,0,"תתחדש רודדי, האייקונים חמודים ביותר! ",22/03/2006 - 17:32,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,גמד בבקיני,1143055761,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
53,35,NULL,0,ותתחדש על המקבוק פרו שבדרך! ,22/03/2006 - 17:37,<blank>,<blank>,<blank>,0,<blank>,35,1,NULL,0,NULL,0,0,0,Macpire,1143041861,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
54,54, :-)  ,0,מברוכ ,22/03/2006 - 17:46,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,nimer,1143042361,http://www.kinneret.ac.il,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
55,55,"איזה קו או צבע שמפריד, הצפייה נורא קשה באופן זה<br />בנוסף<br />ההגיון שלי אייקון עם נקודה (שזה מזכיר את סימן הפלוס) מציין שרשור עם תגובות<br />ואייקון חלק מציין הודעה ללא תגובה ",0,נורא מפריע לי שאין הפרדה בין הנושאים ,22/03/2006 - 17:53,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,מיכאל,1143227142,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
56,56,"אני רואה שזאת מערכת מבוססת PHP<br />האם אתה משתמש בתוכנה מוכנה כמו<br />w-agora<br />phpBB2<br />או שפיתחת לבד?<br />אני מחפש חבילה מוכנה לפורום בעברית. <br />&quot;אגורה&quot; כאילו תומך בעברית, אבל לא בדיוק.<br /><br />בהצלחה ותודה על ההשקעה.  :)  ",0,באיזה כלים בנוי הפורום? ,22/03/2006 - 18:53,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,אילן סקלי,1143122932,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
57,56,NULL,0,אין מקום לכתובת דוא&quot;ל ??? ,22/03/2006 - 18:53,<blank>,<blank>,<blank>,0,<blank>,56,1,NULL,0,NULL,0,0,0,אילן סקלי,1143046433,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
58,46,החישוב צריך להיות עלות לדף הדפסה.<br />ובמחירים כאלה רק מי שמדפיס באמת הרבה יכול להרשות לעצמו. ,0,וכמה זמן מחזיק הטונר הזה?  ,22/03/2006 - 18:56,<blank>,<blank>,<blank>,0,<blank>,47,2,NULL,0,NULL,0,0,0,אילן סקלי,1143046584,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
59,35,<blank>,0, :-)  ,22/03/2006 - 19:17,<blank>,<blank>,<blank>,0,<blank>,53,2,NULL,0,NULL,0,0,0,מורן,1143047878,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
60,35,הבעיה היא שאני גר בחו&quot;ל. ,0,אני כנראה אמכור אותו בעוד שבועיים בערך רק  ,22/03/2006 - 19:20,<blank>,<blank>,<blank>,0,<blank>,49,2,NULL,0,NULL,0,0,0,מורן,1143048008,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
61,56,NULL,0,| 100% קונפורטי | ,22/03/2006 - 19:32,<blank>,<blank>,<blank>,0,<blank>,56,1,NULL,0,NULL,0,0,0,דובב המאגניב,1143048730,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
62,55,גם בחיבור dial-up של 14.400 (נראה אותך בודק :) ) ,0,כפיצוי על חוסר ההפרדה - הפורום טס. לא עדיף? ,22/03/2006 - 19:33,<blank>,<blank>,<blank>,0,<blank>,55,1,NULL,0,NULL,0,0,0,דובב המאגניב,1143048825,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
63,63,<blank>,0,יש כוונה לאפשר הקפצת הודעות? ,22/03/2006 - 19:34,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,דובב המאגניב,1143053063,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
64,64,<blank>,0,תצוגה מקדימה שולתתתת!!!!! ,22/03/2006 - 19:43,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,משיח,1143194723,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
65,56,NULL,0,מהאות הראשונה בנוי לבד (: ,22/03/2006 - 20:09,<blank>,<blank>,<blank>,0,<blank>,56,1,NULL,0,NULL,0,0,0,Macpire,1143050962,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
66,63,אתה מתכוון ללא תגובה? יהיה פה פינג פונג חחח (: <br />אם זה יהיה נחוץ אוסיף. ,0,כשתגיד גם על הודעה מעמוד 10 היא תקפוץ לפה... ,22/03/2006 - 20:10,<blank>,<blank>,<blank>,0,<blank>,63,1,NULL,0,NULL,0,0,0,Macpire,1143051019,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
67,55,"מעניין, ברמת העקרון זה עניין של הרגל.<br /><br />לגבי ההפרדה בין שרשור לשרשור אני אוסיף אופציה שכל אחד יוכל לבחור עיצוב שמתאים לו אישית עם ניואנסים כאלה. ",0,"רציתי לשים עיגול ריק, אבל עם נקודה הוא יותר ",22/03/2006 - 20:12,<blank>,<blank>,<blank>,0,<blank>,55,1,NULL,0,NULL,0,0,0,Macpire,1143051141,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
68,63,NULL,0,לא דע... כאילו.. איך ההודעה הזאת לא ראשונה? ,22/03/2006 - 20:12,<blank>,<blank>,<blank>,0,<blank>,66,2,NULL,0,NULL,0,0,0,דובב המאגניב,1143051151,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
69,63,<blank>,0,יכול להיות שתגובה מהירה נשלחת ככזו עם תוכן? ,22/03/2006 - 20:13,<blank>,<blank>,<blank>,0,<blank>,66,2,NULL,0,NULL,0,0,0,דובב המאגניב,1143051205,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
70,63,NULL,0,גם אם היא חסרת תוכן? ,22/03/2006 - 20:13,<blank>,<blank>,<blank>,0,<blank>,69,3,NULL,0,NULL,0,0,0,דובב המאגניב,1143051221,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
71,63,<blank>,0,וואלה כן. וגם - תגובות מהירות לא מקפיצות. ,22/03/2006 - 20:14,<blank>,<blank>,<blank>,0,<blank>,70,4,NULL,0,NULL,0,0,0,דובב המאגניב,1143051243,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
72,64,NULL,0,הנה אני מגיב בתגובה מהירה ,22/03/2006 - 20:17,<blank>,<blank>,<blank>,0,<blank>,64,1,NULL,0,NULL,0,0,0,דובב המאגניב,1143051453,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
73,64,<blank>,0,ועכשיו בתגובה מורחבת ,22/03/2006 - 20:18,<blank>,<blank>,<blank>,0,<blank>,72,2,NULL,0,NULL,0,0,0,דובב המאגניב,1143051486,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
74,21,NULL,0,מקפיץ. ,22/03/2006 - 20:19,<blank>,<blank>,<blank>,0,<blank>,28,5,NULL,0,NULL,0,0,0,Macpire,1143051543,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
75,63,<blank>,0,קפיץ ,22/03/2006 - 20:34,<blank>,<blank>,<blank>,0,<blank>,71,5,NULL,0,NULL,0,0,0,Macpire,1143052450,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
76,63,<blank>,0,תותח על. ,22/03/2006 - 20:37,<blank>,<blank>,<blank>,0,<blank>,75,6,NULL,0,NULL,0,0,0,דובב המאגניב,1143052644,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
77,63,<blank>,0,אני אוהב את זה שאתה מדבר מלוכלך :) ,22/03/2006 - 20:44,<blank>,<blank>,<blank>,0,<blank>,76,7,NULL,0,NULL,0,0,0,Macpire,1143053063,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
78,35,"כי ככה אני מעריך אותו, אבל יכול להיות שאני מעט טועה<br />התייחסתי לזה שיש כאלו שמוכרים היום אייבוקים 1.25 ב 3000-4000 ש&quot;ח ",0,"מורן קח את ההערכה שלי בערבות מוגבל, ",22/03/2006 - 21:10,<blank>,<blank>,<blank>,0,<blank>,39,2,NULL,0,NULL,0,0,0,Macpire,1143054620,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
79,56,והאם יש כוונה להפוך את התוכנה לכלי &quot;כללי&quot; לבניית פורום עברי ?<br />סה&quot;כ ההתנהלות של כל פורום היא דומה. רק כמה שמות וכותרות <br />ואולי &quot;עיצוב&quot; הם דברים שונים.<br /><br />סתם רעיון... ,0,כל הכבוד ! ,22/03/2006 - 21:18,<blank>,<blank>,<blank>,0,<blank>,65,2,NULL,0,NULL,0,0,0,אילן סקלי,1143055137,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
80,56,האם הוא פעיל?<br />כי גם לחיצה בקמינו וגם בשיירה לא עושה שום דבר.. ,0,מה לגבי לוח המודעות? ,22/03/2006 - 21:21,<blank>,<blank>,<blank>,0,<blank>,79,3,NULL,0,NULL,0,0,0,בן קלינגר,1143055274,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
81,81,בילי-  :-@  :-@  :-@  :-@  :-@ <br /><br /><br />Macpire- שולתתתתתתתתתתתת תתתת!!!!!!!!!!!!!!111<br /><br /><br /> <br /><br />(יצאתי   מדעתי- תיכף אשוב   :-$ ) ,0,פורום מגניב- אבל אהבתי שורה אחת יותר מכל..... ,22/03/2006 - 21:26,png,png,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,שימי לב,1143195513,http://,http://,http://,השורה שכה אהבתי..... ,<blank>,<blank>,<blank>,<blank>,<blank>
82,56,<blank>,0,עדיין לא פעיל (: בקרוב.. ,22/03/2006 - 21:28,<blank>,<blank>,<blank>,0,<blank>,80,4,NULL,0,NULL,0,0,0,Macpire,1143055726,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
83,52,<blank>,0,אויש..  :*|  ,22/03/2006 - 21:29,<blank>,<blank>,<blank>,0,<blank>,52,1,NULL,0,NULL,0,0,0,Macpire,1143055761,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
84,56,הרבה מעבר לעיצוב... מה שמיחד את הפורום הזה הוא הקלות המדהימה שלו... הוא קליל וזריז בצורה יוצאת דופן. במיוחד יחסית לפורומי עץ אחרים שמביאים לך בבום את כל ההודעות.<br /><br />אתה מוזמן ליצור קשר עם המפתח ולשכור את שירותיו להתאמת הפורום לצרכיך. ,0,כל פורום הוא שונה... ,22/03/2006 - 21:33,<blank>,<blank>,<blank>,0,<blank>,79,3,NULL,0,NULL,0,0,0,דובב,1143055986,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
85,56,אני רואה שבסוף מצאתה פטרון מהיר לפורום עץ<br />בהצלחה ואשוב לבקר בו בקרוב ,0,כול הקבוד ,23/03/2006 - 00:04,<blank>,<blank>,<blank>,0,<blank>,84,4,NULL,0,NULL,0,0,0,linuxoid,1143065053,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
86,56,"שבה כל אחד יוכל להתקין בצורה פשוטה את הפורום על השרת, כמו המון פורומים שקיימים באינטרנט, רק שזה יהיה במבנה עץ.<br /><br />כרגע אני עוד מתפרנס מהפורום לכן יש עוד זמן, אבל תגיע הנקודה שבוא הוא יצא לחופשי (: ",0,ישנה כוונה לפתח גירסה עבור הפצה חופשית.... ,23/03/2006 - 07:32,<blank>,<blank>,<blank>,0,<blank>,79,3,NULL,0,NULL,0,0,0,Macpire,1143091922,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
87,56,"favicon.<br /><br />כדי שאני אוכל להבדיל בין הפורום הזה לפורום תפוז, לשניהם יש את אותה הכותרת. ",0,אפשר להציע עוד משהו ,23/03/2006 - 12:00,<blank>,<blank>,<blank>,0,<blank>,86,4,NULL,0,NULL,0,0,0,בן קלינגר,1143108009,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
88,88,<blank>,0,או! סוף סוף פורום שערוך בצורה שימושית! ,23/03/2006 - 13:41,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,זאביק,1143123274,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
89,88,"תתחבר, יש לי משהו בשבילך... ",0,נצל&quot;ש... לרודד... ,23/03/2006 - 15:46,<blank>,<blank>,<blank>,0,<blank>,88,1,NULL,0,NULL,0,0,0,wdsrk,1143121593,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
90,56,<blank>,0,בדרך.. טב שהזכרת לי (: ,23/03/2006 - 16:08,<blank>,<blank>,<blank>,0,<blank>,87,5,NULL,0,NULL,0,0,0,Macpire,1143122932,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
91,88,<blank>,0,8: ,23/03/2006 - 16:14,<blank>,<blank>,<blank>,0,<blank>,88,1,NULL,0,NULL,0,0,0,Macpire,1143123274,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
92,92,<blank>,0,אז זה מה שאתה עושה בניכר - תתחדש  ;-)  ,23/03/2006 - 16:53,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,שפי,1143127461,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
93,92,<blank>,0,תתחדשו ;-) ,23/03/2006 - 17:24,<blank>,<blank>,<blank>,0,<blank>,92,1,NULL,0,NULL,0,0,0,Macpire,1143127461,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
104,104,באיזה תוכנה הכי טוב לכתוב אתר בעברית? ,0,אתרים בעברית ,23/03/2006 - 18:27,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,israhack,1143227272,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
